Model,Elo Score by new model,Elo Score by old model,Elo Score by NYCU
iteration-0000,1500,1446.348301046385,1500
iteration-0025,1553.651698953615,1495.7368675280673,2054.5177444479564
iteration-0050,1557.9148314255478,1520.8360013598558,2393.436888602838
iteration-0075,1537.0788300656918,1461.21622246959,2555.6229318461037
iteration-0100,1575.8626075961017,1512.6101952083293,3110.14067629406
iteration-0125,1563.2524123877724,1581.3905345386247,3449.0598204489415
iteration-0150,1481.8618778491477,1471.2289068966188,3110.14067629406
iteration-0175,1510.632970952529,1461.710542349778,3110.14067629406
iteration-0200,1548.9224286027509,1535.2922880957003,3449.0598204489415
iteration-0225,1513.6301405070506,1514.3189466349029,3449.0598204489415
iteration-0250,1499.3111938721477,1498.209425350264,3449.0598204489415
iteration-0275,1501.1017685218837,1488.0051831438134,3449.0598204489415
iteration-0300,1513.0965853780704,1490.3898548506615,3449.0598204489415
iteration-0325,1522.7067305274088,1483.873342440087,3611.2458636922074
iteration-0350,1538.8333880873217,1583.5985204566605,3773.4319069354733
iteration-0375,1455.2348676306613,1481.6471668461768,3434.512762780592
iteration-0400,1473.5877007844847,1473.0580593009329,3272.326719537326
iteration-0425,1500.5296414835518,1535.5077028936305,3272.326719537326
iteration-0450,1465.0219385899213,1492.8311194117807,2933.4075753824445
iteration-0475,1472.1908191781406,1423.763286504659,2771.2215321391786
iteration-0500,1548.4275326734817,1548.4275326734817,3110.14067629406
