Model,Model,Winrate,total_games
iteration-0000,best-iteration-self-1920-mcts200,0.0,10
iteration-0000,best-iteration-self-1920-mcts200,0.0,10
iteration-0025,best-iteration-self-1920-mcts200,0.1,10
iteration-0025,best-iteration-self-1920-mcts200,0.1,10
iteration-0050,best-iteration-self-1920-mcts200,0.3,10
iteration-0050,best-iteration-self-1920-mcts200,0.3,40
iteration-0075,best-iteration-self-1920-mcts200,0.1,40
iteration-0075,best-iteration-self-1920-mcts200,0.1,10
iteration-0100,best-iteration-self-1920-mcts200,0.0,40
iteration-0100,best-iteration-self-1920-mcts200,0.0,40
iteration-0125,best-iteration-self-1920-mcts200,32.6,10
iteration-0125,best-iteration-self-1920-mcts200,32.0,10
iteration-0150,best-iteration-self-1920-mcts200,0.2,10
iteration-0150,best-iteration-self-1920-mcts200,0.2,10
iteration-0175,best-iteration-self-1920-mcts200,31.8,10
iteration-0175,best-iteration-self-1920-mcts200,32.2,40
iteration-0200,best-iteration-self-1920-mcts200,0.3,40
iteration-0200,best-iteration-self-1920-mcts200,0.3,10
iteration-0000,best-iteration-self-1920-mcts200,0.0,10
iteration-0000,best-iteration-self-1920-mcts200,0.0,10
iteration-0025,best-iteration-self-1920-mcts200,0.0,10
iteration-0025,best-iteration-self-1920-mcts200,0.3,10
iteration-0050,best-iteration-self-1920-mcts200,0.0,10
iteration-0050,best-iteration-self-1920-mcts200,0.1,10
iteration-0075,best-iteration-self-1920-mcts200,32.0,40
iteration-0075,best-iteration-self-1920-mcts200,0.8,10
iteration-0100,best-iteration-self-1920-mcts200,32.1,40
iteration-0100,best-iteration-self-1920-mcts200,31.8,40
iteration-0125,best-iteration-self-1920-mcts200,31.9,40
iteration-0125,best-iteration-self-1920-mcts200,32.7,40
iteration-0150,best-iteration-self-1920-mcts200,32.1,40
iteration-0150,best-iteration-self-1920-mcts200,32.0,40
iteration-0175,best-iteration-self-1920-mcts200,31.9,40
iteration-0175,best-iteration-self-1920-mcts200,32.3,40
iteration-0200,best-iteration-self-1920-mcts200,0.7,10
iteration-0200,best-iteration-self-1920-mcts200,32.0,40
